x_origem,y_origem,x_destino,y_destino,comprimento,id_tubo,tipo_origem,tipo_destino,material,dn,pressao
476035.25,7425691.34,476033.02,7425691.65,2.251,3599594,conexao,distribuicao,PEAD,200.0,7.0
476033.02,7425691.65,476031.44,7425690.86,1.766,3599606,distribuicao,distribuicao,PEAD,200.0,7.0
475973.43,7425706.81,475973.57,7425707.8,1.0,3603721,distribuicao,distribuicao,AC,6.0,7.0
475973.64,7425708.29,475973.57,7425707.8,0.495,3603792,distribuicao,distribuicao,AC,3.0,7.0
475973.29,7425705.81,475973.43,7425706.81,1.01,3603763,distribuicao,distribuicao,PEAD,160.0,7.0
475972.36,7425699.13,475973.29,7425705.81,6.744,3603789,distribuicao,distribuicao,PEAD,200.0,7.0
475972.36,7425699.13,475972.16,7425697.66,1.484,3603741,distribuicao,distribuicao,PEAD,200.0,7.0
476253.6,7424879.76,476191.6,7424887.13,62.437,3602994,distribuicao,conexao,PEAD,200.0,7.0
476191.6,7424887.13,476176.43,7424891.91,15.905,3602994,conexao,conexao,PEAD,200.0,7.0
476176.43,7424891.91,476159.74,7424899.99,18.543,3602994,conexao,conexao,PEAD,200.0,7.0
476159.74,7424899.99,476147.75,7424909.78,15.479,3602994,conexao,conexao,PEAD,200.0,7.0
476147.75,7424909.78,476137.72,7424921.63,15.525,3602994,conexao,conexao,PEAD,200.0,7.0
476137.72,7424921.63,476106.71,7424978.84,65.074,3602994,conexao,conexao,PEAD,200.0,7.0
476106.71,7424978.84,476091.12,7424998.06,24.748,3602994,conexao,conexao,PEAD,200.0,7.0
476091.12,7424998.06,476076.97,7425010.15,18.612,3602994,conexao,conexao,PEAD,200.0,7.0
476076.97,7425010.15,476061.12,7425019.86,18.588,3602994,conexao,conexao,PEAD,200.0,7.0
476061.12,7425019.86,476043.92,7425027.04,18.638,3602994,conexao,conexao,PEAD,200.0,7.0
476043.92,7425027.04,476023.28,7425031.34,21.083,3602994,conexao,distribuicao,PEAD,200.0,7.0
476253.6,7424879.76,476253.07,7424880.73,1.105,4545849,distribuicao,distribuicao,PEAD,200.0,7.0
476253.07,7424880.73,476252.42,7424880.3,0.779,4545859,distribuicao,distribuicao,PEAD,200.0,7.0
476252.42,7424880.3,476252.37,7424879.8,0.502,4545869,distribuicao,distribuicao,AC,8.0,7.0
476261.69,7424878.78,476253.6,7424879.76,8.149,4545817,distribuicao,distribuicao,PEAD,200.0,7.0
476261.69,7424878.78,476261.98,7424878.73,0.294,3600381,distribuicao,distribuicao,AC,8.0,7.0
477736.93,7424233.48,477745.21,7424229.65,9.123,3601014,distribuicao,distribuicao,PEAD,200.0,7.0
477745.21,7424229.65,477746.54,7424229.0,1.48,3601054,distribuicao,distribuicao,PEAD,200.0,7.0
477706.42,7424245.32,477002.22,7424583.12,781.03,3602175,distribuicao,conexao,AC,10.0,35.0
477002.22,7424583.12,477000.17,7424579.21,4.415,3602175,conexao,conexao,AC,10.0,35.0
